지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2021-01-01,2,5.75,47.2,1.4,218.6,66.5,55.3,194.5,67.6,6.1,48.6,41.9
132,2021-01-02,,,,,,,,,,,,
132,2021-01-03,,,,,,,,,,,,
132,2021-01-04,,,,,,,,,,,,
132,2021-01-05,,,,,,,,,,,,
132,2021-01-06,1.5,5.22,235.5,1.7,1640.7,47.4,212.4,1453.5,17.9,36,337.4,118.7
132,2021-01-07,2,5.46,14,1.2,55.3,19.2,18.4,47.8,25,1.6,12.8,9
132,2021-01-08,,,,,,,,,,,,
132,2021-01-09,,,,,,,,,,,,
132,2021-01-10,,,,,,,,,,,,
132,2021-01-11,,,,,,,,,,,,
132,2021-01-12,,,,,,,,,,,,
132,2021-01-13,,,,,,,,,,,,
132,2021-01-14,,,,,,,,,,,,
132,2021-01-15,,,,,,,,,,,,
132,2021-01-16,,,,,,,,,,,,
132,2021-01-17,,,,,,,,,,,,
132,2021-01-18,,,,,,,,,,,,
132,2021-01-19,,,,,,,,,,,,
132,2021-01-20,,,,,,,,,,,,
132,2021-01-21,10.5,5.36,26.9,1.4,85.1,46.1,53.9,78.3,49.9,3,24.6,37
132,2021-01-22,,,,,,,,,,,,
132,2021-01-23,,,,,,,,,,,,
132,2021-01-24,,,,,,,,,,,,
132,2021-01-25,1.5,5.93,69.1,2.4,273,113.2,119.4,286.9,133.3,8,59.5,59
132,2021-01-26,2.5,5.03,18.6,.6,24.9,43.4,38.8,19.5,47.5,1.2,12.6,22.8
132,2021-01-27,,,,,,,,,,,,
132,2021-01-28,1.5,6.37,213.2,4.8,1109.5,197.5,350.8,1035.1,268.9,24.7,222.8,190.9
132,2021-01-29,,,,,,,,,,,,
132,2021-01-30,,,,,,,,,,,,
132,2021-01-31,,,,,,,,,,,,
132,2021-02-01,,,,,,,,,,,,
132,2021-02-02,,,,,,,,,,,,
132,2021-02-03,1,8.01,131.5,.1,239.5,75.8,87.4,551.8,210.5,17.8,115.2,133.5
132,2021-02-04,,,,,,,,,,,,
132,2021-02-05,,,,,,,,,,,,
132,2021-02-06,,,,,,,,,,,,
132,2021-02-07,,,,,,,,,,,,
132,2021-02-08,,,,,,,,,,,,
132,2021-02-09,,,,,,,,,,,,
132,2021-02-10,,,,,,,,,,,,
132,2021-02-11,,,,,,,,,,,,
132,2021-02-12,,,,,,,,,,,,
132,2021-02-13,,,,,,,,,,,,
132,2021-02-14,,,,,,,,,,,,
132,2021-02-15,,,,,,,,,,,,
132,2021-02-16,1.5,6.44,46,2.3,212.8,38.6,63,203,49.9,6.6,48.5,55.2
132,2021-02-17,,,,,,,,,,,,
132,2021-02-18,,,,,,,,,,,,
132,2021-02-19,,,,,,,,,,,,
132,2021-02-20,,,,,,,,,,,,
132,2021-02-21,,,,,,,,,,,,
132,2021-02-22,,,,,,,,,,,,
132,2021-02-23,,,,,,,,,,,,
132,2021-02-24,,,,,,,,,,,,
132,2021-02-25,,,,,,,,,,,,
132,2021-02-26,,,,,,,,,,,,
132,2021-02-27,,,,,,,,,,,,
132,2021-02-28,10.5,4.78,32.1,2.3,80,28.2,74.5,73.1,58.3,3,20.6,21.6
132,2021-03-01,47,4.83,25.3,1.6,62.2,22.7,59.2,56.3,46.5,2.3,16.1,16.7
132,2021-03-02,,,,,,,,,,,,
132,2021-03-03,,,,,,,,,,,,
132,2021-03-04,,,,,,,,,,,,
132,2021-03-05,,,,,,,,,,,,
132,2021-03-06,,,,,,,,,,,,
132,2021-03-07,,,,,,,,,,,,
132,2021-03-08,,,,,,,,,,,,
132,2021-03-09,,,,,,,,,,,,
132,2021-03-10,,,,,,,,,,,,
132,2021-03-11,,,,,,,,,,,,
132,2021-03-12,,,,,,,,,,,,
132,2021-03-13,,,,,,,,,,,,
132,2021-03-14,,,,,,,,,,,,
132,2021-03-15,,,,,,,,,,,,
132,2021-03-16,,,,,,,,,,,,
132,2021-03-17,,,,,,,,,,,,
132,2021-03-18,,,,,,,,,,,,
132,2021-03-19,1.5,6.67,53.4,2.2,60.9,140.9,117.9,55.9,309.7,4.8,17.5,27
132,2021-03-20,,,,,,,,,,,,
132,2021-03-21,,,,,,,,,,,,
132,2021-03-22,,,,,,,,,,,,
132,2021-03-23,,,,,,,,,,,,
132,2021-03-24,,,,,,,,,,,,
132,2021-03-25,,,,,,,,,,,,
132,2021-03-26,,,,,,,,,,,,
132,2021-03-27,20.5,5.32,7.9,.4,8.1,14,18.8,7.2,22.7,.9,4.2,8
132,2021-03-28,,,,,,,,,,,,
132,2021-03-29,,,,,,,,,,,,
132,2021-03-30,,,,,,,,,,,,
132,2021-03-31,,,,,,,,,,,,
132,2021-04-01,,,,,,,,,,,,
132,2021-04-02,,,,,,,,,,,,
132,2021-04-03,41,5.68,7.5,.2,9.5,12.4,19.8,8.9,27.9,1.2,3.6,5.8
132,2021-04-04,,,,,,,,,,,,
132,2021-04-05,,,,,,,,,,,,
132,2021-04-06,,,,,,,,,,,,
132,2021-04-07,,,,,,,,,,,,
132,2021-04-08,,,,,,,,,,,,
132,2021-04-09,,,,,,,,,,,,
132,2021-04-10,,,,,,,,,,,,
132,2021-04-11,,,,,,,,,,,,
132,2021-04-12,13,5.65,6.2,.4,7.9,9.5,14.8,6,26.7,.7,2.1,3.2
132,2021-04-13,,,,,,,,,,,,
132,2021-04-14,,,,,,,,,,,,
132,2021-04-15,,,,,,,,,,,,
132,2021-04-16,,,,,,,,,,,,
132,2021-04-17,,,,,,,,,,,,
132,2021-04-18,,,,,,,,,,,,
132,2021-04-19,,,,,,,,,,,,
132,2021-04-20,,,,,,,,,,,,
132,2021-04-21,,,,,,,,,,,,
132,2021-04-22,,,,,,,,,,,,
132,2021-04-23,,,,,,,,,,,,
132,2021-04-24,,,,,,,,,,,,
132,2021-04-25,,,,,,,,,,,,
132,2021-04-26,,,,,,,,,,,,
132,2021-04-27,,,,,,,,,,,,
132,2021-04-28,,,,,,,,,,,,
132,2021-04-29,5.5,7.42,94.6,5.1,193.9,159.3,167.9,189.1,209.3,8.1,54.2,339
132,2021-04-30,,,,,,,,,,,,
132,2021-05-01,,,,,,,,,,,,
132,2021-05-02,,,,,,,,,,,,
132,2021-05-03,1,6.43,61.8,3.4,178.2,124.9,119,157.8,110.7,13.2,54.8,144.7
132,2021-05-04,10.5,6.22,12.2,.5,26.2,17.7,27.6,22.4,29.2,1.5,9.7,24.7
132,2021-05-05,,,,,,,,,,,,
132,2021-05-06,,,,,,,,,,,,
132,2021-05-07,,,,,,,,,,,,
132,2021-05-08,,,,,,,,,,,,
132,2021-05-09,1.5,7.57,90.9,6.4,83.4,207.7,209.5,73.8,400.8,12.9,56.3,258.3
132,2021-05-10,8.5,6.95,24.1,1.3,16.3,49.8,50.5,12.7,111,2.2,10.5,60
132,2021-05-11,,,,,,,,,,,,
132,2021-05-12,,,,,,,,,,,,
132,2021-05-13,,,,,,,,,,,,
132,2021-05-14,2.5,6.53,21.1,1.7,26.4,45.2,40.1,19.5,59.3,2.2,14.2,66.8
132,2021-05-15,11.5,6.25,7.8,.3,5,19.8,16.1,3.3,35.6,.4,3.5,11.8
132,2021-05-16,5.5,6.37,9.9,.4,9.4,28.6,21.7,6.2,25.9,.8,7.8,24
132,2021-05-17,1,6.31,9.1,.4,19.2,19.1,15.2,15.1,19.7,1.3,9.1,18.6
132,2021-05-18,,,,,,,,,,,,
132,2021-05-19,,,,,,,,,,,,
132,2021-05-20,5,6.9,15.6,.8,8.8,31.5,17.1,6.2,73.8,1,9.9,28.1
132,2021-05-21,,,,,,,,,,,,
132,2021-05-22,,,,,,,,,,,,
132,2021-05-23,,,,,,,,,,,,
132,2021-05-24,4.5,7.81,99,7.1,118.2,174.1,187.5,111.9,310.7,9,55.7,400.6
132,2021-05-25,,,,,,,,,,,,
132,2021-05-26,2,6.69,18.7,1.2,38.6,23.8,29.7,33.3,31.3,2.6,15.4,62.2
132,2021-05-27,16,7.55,54.2,3.3,26.4,149.2,90.3,22.2,293.5,3.8,26.6,147.6
132,2021-05-28,27.5,7.09,26,.9,20.6,49.2,47.6,16.8,130.8,2.4,11,60
132,2021-05-29,,,,,,,,,,,,
132,2021-05-30,34,7.23,34.2,2.2,19.4,87.8,71.1,12.4,220.5,2.5,9.9,65.5
132,2021-05-31,,,,,,,,,,,,
132,2021-06-01,,,,,,,,,,,,
132,2021-06-02,,,,,,,,,,,,
132,2021-06-03,26,5.81,5,.2,3.5,10.7,10.7,1.5,13.3,.3,2,8.2
132,2021-06-04,,,,,,,,,,,,
132,2021-06-05,,,,,,,,,,,,
132,2021-06-06,,,,,,,,,,,,
132,2021-06-07,,,,,,,,,,,,
132,2021-06-08,,,,,,,,,,,,
132,2021-06-09,,,,,,,,,,,,
132,2021-06-10,6.5,5.22,14.7,.9,39.2,26,21.5,24.6,41.2,.7,6.2,17.5
132,2021-06-11,,,,,,,,,,,,
132,2021-06-12,,,,,,,,,,,,
132,2021-06-13,,,,,,,,,,,,
132,2021-06-14,,,,,,,,,,,,
132,2021-06-15,4,6.65,17.4,2.2,10.5,32.5,28.3,5.7,85.4,.6,6.4,14
132,2021-06-16,,,,,,,,,,,,
132,2021-06-17,3.5,6.61,16,.7,10.2,36.1,23.6,5.3,34.9,.7,17.9,45.8
132,2021-06-18,,,,,,,,,,,,
132,2021-06-19,,,,,,,,,,,,
132,2021-06-20,,,,,,,,,,,,
132,2021-06-21,,,,,,,,,,,,
132,2021-06-22,34.5,6.48,21.4,1.1,21,60.9,39.6,15.5,125.3,.6,4.3,7.9
132,2021-06-23,12,6.05,11.3,.3,7.9,31.3,25.5,3.8,53.8,.4,2.4,4.6
132,2021-06-24,,,,,,,,,,,,
132,2021-06-25,,,,,,,,,,,,
132,2021-06-26,,,,,,,,,,,,
132,2021-06-27,,,,,,,,,,,,
132,2021-06-28,,,,,,,,,,,,
132,2021-06-29,,,,,,,,,,,,
132,2021-06-30,,,,,,,,,,,,
132,2021-07-01,,,,,,,,,,,,
132,2021-07-02,,,,,,,,,,,,
132,2021-07-03,53,5.84,5.2,.5,13.1,7.1,8.7,7.9,14.9,.3,2.4,2.9
132,2021-07-04,,,,,,,,,,,,
132,2021-07-05,1,6.31,26.5,.6,133.4,24,28.5,117.6,42.2,2.9,13,12.3
132,2021-07-06,9.5,5.64,4.7,.2,12,9.4,5.3,8.2,6.9,.3,3.8,3.4
132,2021-07-07,3,5.81,10.3,.4,10.9,29.1,21.3,6.9,27.3,.7,9.5,10.6
132,2021-07-08,,,,,,,,,,,,
132,2021-07-09,,,,,,,,,,,,
132,2021-07-10,,,,,,,,,,,,
132,2021-07-11,,,,,,,,,,,,
132,2021-07-12,,,,,,,,,,,,
132,2021-07-13,,,,,,,,,,,,
132,2021-07-14,,,,,,,,,,,,
132,2021-07-15,,,,,,,,,,,,
132,2021-07-16,,,,,,,,,,,,
132,2021-07-17,9,5.72,8.6,.5,12.8,14.7,10.7,8.3,37.5,.4,1.6,1.7
132,2021-07-18,1,5.55,23.2,1.3,44.3,50.9,34.2,32.3,111.2,3.2,5.6,8.2
132,2021-07-19,,,,,,,,,,,,
132,2021-07-20,,,,,,,,,,,,
132,2021-07-21,,,,,,,,,,,,
132,2021-07-22,,,,,,,,,,,,
132,2021-07-23,,,,,,,,,,,,
132,2021-07-24,,,,,,,,,,,,
132,2021-07-25,,,,,,,,,,,,
132,2021-07-26,,,,,,,,,,,,
132,2021-07-27,,,,,,,,,,,,
132,2021-07-28,,,,,,,,,,,,
132,2021-07-29,,,,,,,,,,,,
132,2021-07-30,,,,,,,,,,,,
132,2021-07-31,3,6.1,22.1,2.5,16.4,50.2,33.9,9.4,119.2,1.3,3.4,4.8
132,2021-08-01,25,6.13,5.8,.4,8.8,11.9,11,5.4,24.9,.2,2.7,3.8
132,2021-08-02,,,,,,,,,,,,
132,2021-08-03,,,,,,,,,,,,
132,2021-08-04,,,,,,,,,,,,
132,2021-08-05,,,,,,,,,,,,
132,2021-08-06,,,,,,,,,,,,
132,2021-08-07,,,,,,,,,,,,
132,2021-08-08,,,,,,,,,,,,
132,2021-08-09,,,,,,,,,,,,
132,2021-08-10,,,,,,,,,,,,
132,2021-08-11,,,,,,,,,,,,
132,2021-08-12,,,,,,,,,,,,
132,2021-08-13,,,,,,,,,,,,
132,2021-08-14,,,,,,,,,,,,
132,2021-08-15,,,,,,,,,,,,
132,2021-08-16,,,,,,,,,,,,
132,2021-08-17,,,,,,,,,,,,
132,2021-08-18,,,,,,,,,,,,
132,2021-08-19,,,,,,,,,,,,
132,2021-08-20,9,5.82,6.5,.6,15.5,11.9,10.9,11.6,19.7,.5,4,3.8
132,2021-08-21,15.5,5.55,10.3,.3,52.9,3.5,9.9,44.8,6.4,.6,8.8,4.2
132,2021-08-22,6,6.21,13.6,.5,38.6,29.6,16,33.1,43.1,.8,10,11.6
132,2021-08-23,116,5.63,2.6,.1,5.6,2.4,3.5,4.7,2.1,.2,1.8,1.4
132,2021-08-24,18.5,6.26,19.1,.3,84.4,20.1,25.4,74.3,23.9,1.7,18.1,10.7
132,2021-08-25,11,5.84,4.1,.3,5.6,8.6,6.2,3.8,10,.2,2.6,3.7
132,2021-08-26,7,6.69,40.4,2.3,24.6,119.7,101.5,18.1,236.3,2.1,14.2,57.5
132,2021-08-27,10.5,5.9,13.3,.9,9.1,31.2,35,3.9,46.3,.3,4.9,16.1
132,2021-08-28,19.5,5.16,8,.4,5.1,15.5,13,3.9,11.9,.4,2.6,5.4
132,2021-08-29,,,,,,,,,,,,
132,2021-08-30,,,,,,,,,,,,
132,2021-08-31,123.5,5.29,3.5,.2,8.2,2.6,4.6,5.5,1.8,.2,2.1,.9
132,2021-09-01,,,,,,,,,,,,
132,2021-09-02,,,,,,,,,,,,
132,2021-09-03,,,,,,,,,,,,
132,2021-09-04,,,,,,,,,,,,
132,2021-09-05,,,,,,,,,,,,
132,2021-09-06,33,5.65,5,.2,13.5,6.3,6,11.1,17.4,.4,2.2,1
132,2021-09-07,3.5,5.34,31.5,.3,157.2,30.8,32,137.6,36.4,2.1,28.7,10.7
132,2021-09-08,,,,,,,,,,,,
132,2021-09-09,,,,,,,,,,,,
132,2021-09-10,,,,,,,,,,,,
132,2021-09-11,,,,,,,,,,,,
132,2021-09-12,,,,,,,,,,,,
132,2021-09-13,,,,,,,,,,,,
132,2021-09-14,,,,,,,,,,,,
132,2021-09-15,,,,,,,,,,,,
132,2021-09-16,3.5,6.36,8.1,.4,12.9,8.2,15.7,10.2,42.5,2.6,2.3,1.9
132,2021-09-17,,,,,,,,,,,,
132,2021-09-18,,,,,,,,,,,,
132,2021-09-19,,,,,,,,,,,,
132,2021-09-20,31.5,5.54,9,.2,30.9,7,9.7,26.7,6.8,.6,7.1,2.6
132,2021-09-21,15.5,5.45,38.4,.6,167.1,45,52.5,146.2,66,3.8,33.2,17
132,2021-09-22,,,,,,,,,,,,
132,2021-09-23,,,,,,,,,,,,
132,2021-09-24,,,,,,,,,,,,
132,2021-09-25,,,,,,,,,,,,
132,2021-09-26,,,,,,,,,,,,
132,2021-09-27,,,,,,,,,,,,
132,2021-09-28,2.5,5.24,45.7,1.3,76.9,113.4,74.7,72.9,146.9,3.5,26.8,18.6
132,2021-09-29,3.5,4.98,15.2,.4,37.1,18.6,19.2,31,20.4,.8,9.1,6.3
132,2021-09-30,,,,,,,,,,,,
132,2021-10-01,4.5,5.43,33.4,1.2,60.2,93.2,70.1,51,133.8,3.8,17.4,32.5
132,2021-10-02,,,,,,,,,,,,
132,2021-10-03,,,,,,,,,,,,
132,2021-10-04,,,,,,,,,,,,
132,2021-10-05,,,,,,,,,,,,
132,2021-10-06,2,5.07,32.4,.4,97.5,59.4,55.6,89.6,75.7,8.3,20.5,22.8
132,2021-10-07,5,4.51,25.9,.3,41.8,39.1,40.7,37.8,27.8,1.6,12.1,11.8
132,2021-10-08,,,,,,,,,,,,
132,2021-10-09,,,,,,,,,,,,
132,2021-10-10,9,4.63,22,.9,49.1,16.6,36.4,41.5,14.3,1,11.7,8.5
132,2021-10-11,,,,,,,,,,,,
132,2021-10-12,,,,,,,,,,,,
132,2021-10-13,,,,,,,,,,,,
132,2021-10-14,,,,,,,,,,,,
132,2021-10-15,,,,,,,,,,,,
132,2021-10-16,,,,,,,,,,,,
132,2021-10-17,,,,,,,,,,,,
132,2021-10-18,2,5.42,24,.9,98,48.4,38.4,85.5,45.3,2.5,23,31.5
132,2021-10-19,,,,,,,,,,,,
132,2021-10-20,,,,,,,,,,,,
132,2021-10-21,,,,,,,,,,,,
132,2021-10-22,,,,,,,,,,,,
132,2021-10-23,,,,,,,,,,,,
132,2021-10-24,,,,,,,,,,,,
132,2021-10-25,,,,,,,,,,,,
132,2021-10-26,,,,,,,,,,,,
132,2021-10-27,,,,,,,,,,,,
132,2021-10-28,,,,,,,,,,,,
132,2021-10-29,,,,,,,,,,,,
132,2021-10-30,10.5,4.61,24.2,.5,51,46.2,26.9,47.4,28.1,2.4,13.3,10.6
132,2021-10-31,,,,,,,,,,,,
132,2021-11-01,,,,,,,,,,,,
132,2021-11-02,,,,,,,,,,,,
132,2021-11-03,9,5.03,23.2,.4,15.7,66.7,43.7,12.3,87.6,1.6,6,12.1
132,2021-11-04,2,5.61,45.5,1.7,54.8,126.9,90,41.4,207.6,3,13.7,27.6
132,2021-11-05,,,,,,,,,,,,
132,2021-11-06,,,,,,,,,,,,
132,2021-11-07,22,5.4,35.1,.1,230.2,4.4,29.4,202.2,4.4,3.7,41.5,9.9
132,2021-11-08,11,4.79,63.3,.2,427.7,8.9,54.7,375.3,5.1,8.4,80.8,21.1
132,2021-11-09,9.5,4.63,73.4,.3,454.9,21,75.2,398.3,17.2,9.6,86.2,22.5
132,2021-11-10,7.5,4.57,57.3,.3,325.6,20.6,63.3,285.7,19.9,6.6,61.7,17.5
132,2021-11-11,2,4.95,169.4,1.1,1091.8,42.9,168.8,963.3,42.1,21.6,198.9,63.5
132,2021-11-12,,,,,,,,,,,,
132,2021-11-13,,,,,,,,,,,,
132,2021-11-14,,,,,,,,,,,,
132,2021-11-15,,,,,,,,,,,,
132,2021-11-16,,,,,,,,,,,,
132,2021-11-17,,,,,,,,,,,,
132,2021-11-18,,,,,,,,,,,,
132,2021-11-19,,,,,,,,,,,,
132,2021-11-20,,,,,,,,,,,,
132,2021-11-21,8.5,4.6,97.5,1.1,462.7,118.3,135.1,402.9,114.3,12.5,92.1,51.7
132,2021-11-22,1.5,5.72,239.6,1.5,1561.3,55.4,263.5,1389.1,60.8,30.2,265.4,140.4
132,2021-11-23,2.5,4.6,181.3,1.2,1142.5,68.6,184.5,1009.8,41.4,23.8,212.2,89.5
132,2021-11-24,,,,,,,,,,,,
132,2021-11-25,,,,,,,,,,,,
132,2021-11-26,,,,,,,,,,,,
132,2021-11-27,,,,,,,,,,,,
132,2021-11-28,,,,,,,,,,,,
132,2021-11-29,39,5.02,15.1,.3,49.1,12.4,24.2,44.9,11.3,1.7,12.6,6.2
132,2021-11-30,5.5,5.07,93.5,.2,607.9,20.6,82.9,549.8,18.5,11,121,30
132,2021-12-01,,,,,,,,,,,,
132,2021-12-02,,,,,,,,,,,,
132,2021-12-03,,,,,,,,,,,,
132,2021-12-04,,,,,,,,,,,,
132,2021-12-05,,,,,,,,,,,,
132,2021-12-06,,,,,,,,,,,,
132,2021-12-07,,,,,,,,,,,,
132,2021-12-08,,,,,,,,,,,,
132,2021-12-09,1.5,5.81,74.2,2.3,373,82.7,89,348.1,150.3,9.7,71.6,27.5
132,2021-12-10,,,,,,,,,,,,
132,2021-12-11,,,,,,,,,,,,
132,2021-12-12,,,,,,,,,,,,
132,2021-12-13,,,,,,,,,,,,
132,2021-12-14,,,,,,,,,,,,
132,2021-12-15,1.5,4.63,116,2.8,246.4,367.8,175.7,237.6,319.4,3.1,78.1,102.1
132,2021-12-16,,,,,,,,,,,,
132,2021-12-17,,,,,,,,,,,,
132,2021-12-18,1,5.33,279.3,7.3,1540.2,349.1,351,1383.8,260.3,23.1,310.5,223.6
132,2021-12-19,,,,,,,,,,,,
132,2021-12-20,,,,,,,,,,,,
132,2021-12-21,,,,,,,,,,,,
132,2021-12-22,,,,,,,,,,,,
132,2021-12-23,,,,,,,,,,,,
132,2021-12-24,,,,,,,,,,,,
132,2021-12-25,,,,,,,,,,,,
132,2021-12-26,,,,,,,,,,,,
132,2021-12-27,1,5.24,168.5,3.3,897.7,200.8,215.9,812,158.5,24.6,188,133.4
132,2021-12-28,,,,,,,,,,,,
132,2021-12-29,,,,,,,,,,,,
132,2021-12-30,3.5,5.13,69.8,1.7,343,85.9,90.7,315.7,69.2,8.8,81.8,57.5
132,2021-12-31,,,,,,,,,,,,
